Date,Open,High,Low,Close,Adj Close,Volume
2012-08-24,71.639999,72.379997,71.599998,72.250000,60.543655,969800
2012-08-27,72.419998,72.519997,72.129997,72.239998,60.535278,933600
2012-08-28,72.099998,72.440002,71.980003,72.230003,60.526894,884000
2012-08-29,72.360001,72.510002,72.089996,72.320000,60.602299,1230700
2012-08-30,72.050003,72.050003,71.629997,71.779999,60.149796,718000
2012-08-31,72.230003,72.449997,71.680000,72.209999,60.510113,1273600
2012-09-04,72.139999,72.389999,71.620003,72.160004,60.468227,1194900
2012-09-05,72.230003,72.419998,72.010002,72.160004,60.468227,998200
2012-09-06,72.550003,73.610001,72.550003,73.599998,61.674904,1738500
2012-09-07,73.750000,73.959999,73.680000,73.959999,61.976566,1408300
2012-09-10,73.879997,73.980003,73.500000,73.519997,61.607872,962600
2012-09-11,73.559998,73.949997,73.550003,73.680000,61.741940,1335000
2012-09-12,73.989998,74.040001,73.720001,73.989998,62.001705,1364800
2012-09-13,73.970001,75.320000,73.839996,75.099998,62.931881,2242100
2012-09-14,75.220001,75.910004,75.199997,75.500000,63.267048,5731100
2012-09-17,75.370003,75.430000,74.970001,75.190002,63.007282,1347900
2012-09-18,75.040001,75.160004,74.860001,75.059998,62.898357,2004200
2012-09-19,75.120003,75.330002,74.949997,75.120003,62.948650,836100
2012-09-20,74.750000,75.050003,74.510002,75.019997,62.864826,2569500
2012-09-21,75.400002,75.410004,75.019997,75.040001,62.881603,954600
2012-09-24,74.330002,74.690002,74.260002,74.510002,62.741825,1437100
2012-09-25,74.690002,74.790001,73.650002,73.750000,62.101845,1619200
2012-09-26,73.669998,73.680000,73.040001,73.260002,61.689251,1482600
2012-09-27,73.570000,74.129997,73.349998,73.989998,62.303932,956900
2012-09-28,73.709999,73.940002,73.360001,73.650002,62.017654,1398000
2012-10-01,73.989998,74.470001,73.629997,73.779999,62.127113,1864000
2012-10-02,74.089996,74.209999,73.550003,73.889999,62.219734,2136000
2012-10-03,74.059998,74.339996,73.669998,74.160004,62.447079,1118800
2012-10-04,74.410004,74.739998,74.309998,74.720001,62.918644,1614500
2012-10-05,75.050003,75.250000,74.470001,74.699997,62.901775,1317400
2012-10-08,74.379997,74.529999,74.260002,74.410004,62.657619,1128700
2012-10-09,74.360001,74.410004,73.639999,73.660004,62.026054,4611600
2012-10-10,73.650002,73.709999,73.120003,73.230003,61.663979,1264000
2012-10-11,73.800003,73.879997,73.330002,73.339996,61.756603,1405800
2012-10-12,73.379997,73.580002,72.879997,73.019997,61.487125,2111900
2012-10-15,73.169998,73.680000,72.940002,73.620003,61.992382,948800
2012-10-16,73.949997,74.410004,73.900002,74.379997,62.632336,2616300
2012-10-17,74.440002,74.790001,74.300003,74.730003,62.927086,1265200
2012-10-18,74.570000,74.870003,74.309998,74.580002,62.800747,1156900
2012-10-19,74.349998,74.349998,73.110001,73.290001,61.714497,1466500
2012-10-22,73.190002,73.419998,72.730003,73.290001,61.714497,1394100
2012-10-23,72.500000,72.650002,71.949997,72.360001,60.931377,2302400
2012-10-24,72.629997,72.730003,72.040001,72.160004,60.762974,1250400
2012-10-25,72.680000,72.800003,71.919998,72.360001,60.931377,1092600
2012-10-26,72.300003,72.540001,71.800003,72.279999,60.864025,1154800
2012-10-31,72.580002,72.629997,72.000000,72.320000,60.897701,1373200
2012-11-01,72.540001,73.269997,72.449997,73.230003,61.663979,1519100
2012-11-02,73.610001,73.629997,72.430000,72.470001,61.024033,1467200
2012-11-05,72.389999,72.820000,72.199997,72.699997,61.217682,1368200
2012-11-06,72.900002,73.510002,72.820000,73.250000,61.680817,1066100
2012-11-07,72.620003,72.629997,71.279999,71.610001,60.299847,4727300
2012-11-08,71.599998,71.919998,70.699997,70.699997,59.533569,1926100
2012-11-09,70.540001,71.720001,70.480003,70.769997,59.592525,1974100
2012-11-12,70.989998,71.099998,70.680000,70.809998,59.626179,3436500
2012-11-13,70.449997,71.269997,70.360001,70.540001,59.398842,1497500
2012-11-14,70.779999,70.870003,69.370003,69.550003,58.565216,3587700
2012-11-15,69.500000,69.790001,69.070000,69.370003,58.413628,2332100
2012-11-16,69.470001,69.910004,68.900002,69.750000,58.733601,1807200
2012-11-19,70.570000,71.199997,70.540001,71.190002,59.946182,2239700
2012-11-20,71.099998,71.339996,70.709999,71.269997,60.013535,2151200
2012-11-21,71.300003,71.480003,71.180000,71.449997,60.165108,1144700
2012-11-23,71.769997,72.379997,71.730003,72.379997,60.948219,787900
2012-11-26,72.059998,72.290001,71.820000,72.290001,60.872429,1698500
2012-11-27,72.169998,72.440002,71.889999,71.910004,60.552460,1655500
2012-11-28,71.650002,72.510002,71.239998,72.480003,61.032433,1733100
2012-11-29,72.820000,73.050003,72.500000,72.900002,61.386105,3237100
2012-11-30,72.910004,73.019997,72.650002,72.879997,61.369236,1773800
2012-12-03,73.269997,73.290001,72.510002,72.559998,61.099812,1671200
2012-12-04,72.580002,72.779999,72.260002,72.459999,61.015583,1325600
2012-12-05,72.580002,72.910004,72.040001,72.599998,61.133461,1913700
2012-12-06,72.540001,72.860001,72.430000,72.830002,61.327126,1273000
2012-12-07,73.110001,73.190002,72.690002,73.040001,61.503971,1845700
2012-12-10,72.989998,73.269997,72.949997,73.129997,61.579773,1318500
2012-12-11,73.440002,73.919998,73.400002,73.589996,61.967125,2300700
2012-12-12,73.940002,74.139999,73.529999,73.620003,61.992382,2046200
2012-12-13,73.599998,73.790001,73.000000,73.199997,61.638699,2235500
2012-12-14,73.019997,73.180000,72.800003,72.889999,61.377674,1810600
2012-12-17,73.120003,73.800003,73.050003,73.800003,62.143932,3289300
2012-12-18,73.940002,74.709999,73.800003,74.660004,62.868114,3438600
2012-12-19,74.839996,74.879997,74.169998,74.199997,62.480793,3682400
2012-12-20,73.720001,74.070000,73.480003,74.059998,62.824333,4601000
2012-12-21,73.019997,73.540001,72.970001,73.430000,62.289890,4402300
2012-12-24,73.199997,73.260002,73.099998,73.180000,62.077847,1429200
2012-12-26,73.320000,73.349998,72.680000,72.830002,61.780914,2479600
2012-12-27,72.879997,73.019997,71.940002,72.769997,61.730022,3277500
2012-12-28,72.330002,72.680000,71.970001,71.980003,61.059917,3618600
2012-12-31,71.879997,73.309998,71.820000,73.279999,62.162670,8359300
2013-01-02,74.529999,75.150002,74.500000,75.139999,63.740479,5037200
2013-01-03,75.120003,75.370003,74.839996,75.029999,63.647171,2634600
2013-01-04,75.139999,75.519997,74.989998,75.410004,63.969551,2512900
2013-01-07,75.180000,75.279999,74.949997,75.209999,63.799858,2511200
2013-01-08,75.110001,75.180000,74.699997,75.010002,63.630222,1407900
2013-01-09,75.190002,75.410004,75.110001,75.239998,63.825294,1421900
2013-01-10,75.620003,75.769997,75.220001,75.760002,64.266426,1403700
2013-01-11,75.760002,75.800003,75.510002,75.769997,64.274895,1248500
2013-01-14,75.750000,75.800003,75.440002,75.690002,64.207062,2745100
2013-01-15,75.400002,75.889999,75.339996,75.830002,64.325783,1109100
2013-01-16,75.680000,75.910004,75.589996,75.769997,64.274895,1211300
2013-01-17,76.110001,76.500000,76.000000,76.290001,64.716019,1534800
2013-01-18,76.320000,76.540001,76.040001,76.500000,64.894150,2173800
2013-01-22,76.500000,76.900002,76.330002,76.900002,65.233482,3583900
2013-01-23,76.930000,77.080002,76.779999,76.989998,65.309807,2295000
2013-01-24,76.919998,77.440002,76.860001,77.080002,65.386147,5386800
2013-01-25,77.379997,77.529999,77.120003,77.510002,65.750923,2997100
2013-01-28,77.599998,77.610001,77.150002,77.440002,65.691566,1634100
2013-01-29,77.339996,77.769997,77.239998,77.699997,65.912094,2279300
2013-01-30,77.690002,77.830002,77.269997,77.389999,65.649147,2074200
2013-01-31,77.330002,77.500000,77.150002,77.250000,65.530380,2611300
2013-02-01,77.779999,78.110001,77.610001,78.000000,66.166580,2550000
2013-02-04,77.639999,77.720001,77.129997,77.180000,65.471008,2457700
2013-02-05,77.620003,78.110001,77.540001,77.910004,66.090248,1609800
2013-02-06,77.680000,78.059998,77.599998,78.050003,66.209000,1739400
2013-02-07,78.050003,78.129997,77.360001,77.910004,66.090248,2260100
2013-02-08,78.029999,78.379997,78.010002,78.379997,66.488945,4399000
2013-02-11,78.360001,78.389999,78.139999,78.339996,66.454994,2112700
2013-02-12,78.339996,78.599998,78.279999,78.470001,66.565308,1568600
2013-02-13,78.680000,78.790001,78.339996,78.580002,66.658615,1346500
2013-02-14,78.349998,78.750000,78.279999,78.680000,66.743446,1287500
2013-02-15,78.750000,78.830002,78.320000,78.589996,66.667053,1248400
2013-02-19,78.709999,79.160004,78.709999,79.139999,67.133636,1763000
2013-02-20,79.110001,79.129997,78.080002,78.089996,66.242943,2507600
2013-02-21,77.889999,77.889999,77.250000,77.559998,65.793335,2641300
2013-02-22,77.919998,78.309998,77.769997,78.309998,66.429550,1833200
2013-02-25,78.680000,78.779999,76.849998,76.870003,65.208015,1979400
2013-02-26,77.190002,77.440002,76.669998,77.360001,65.623688,2505700
2013-02-27,77.269997,78.529999,77.260002,78.309998,66.429550,1442500
2013-02-28,78.309998,78.809998,78.129997,78.239998,66.370193,1564400
2013-03-01,77.959999,78.500000,77.510002,78.419998,66.522850,1884800
2013-03-04,78.239998,78.779999,78.099998,78.779999,66.828247,1418100
2013-03-05,79.150002,79.720001,79.099998,79.570000,67.498375,1855000
2013-03-06,79.839996,79.889999,79.519997,79.690002,67.600212,2045000
2013-03-07,79.800003,79.949997,79.720001,79.879997,67.761368,1564000
2013-03-08,80.230003,80.360001,79.820000,80.269997,68.092216,1984200
2013-03-11,80.190002,80.529999,80.089996,80.500000,68.287323,1610000
2013-03-12,80.470001,80.570000,80.120003,80.360001,68.168549,1505700
2013-03-13,80.370003,80.610001,80.150002,80.510002,68.295822,1021900
2013-03-14,80.720001,80.989998,80.680000,80.959999,68.677551,1328200
2013-03-15,80.900002,80.970001,80.599998,80.870003,68.601166,1850700
2013-03-18,80.139999,80.769997,80.000000,80.430000,68.227928,1983400
2013-03-19,80.599998,80.720001,79.690002,80.209999,68.041306,1522500
2013-03-20,80.650002,80.930000,80.559998,80.809998,68.550293,1475900
2013-03-21,80.339996,80.610001,79.989998,80.160004,67.998894,1418500
2013-03-22,80.029999,80.320000,79.970001,80.290001,68.419861,1648200
2013-03-25,80.550003,80.699997,79.720001,80.019997,68.189758,2905700
2013-03-26,80.339996,80.629997,80.239998,80.620003,68.701057,1322900
2013-03-27,80.160004,80.709999,80.010002,80.680000,68.752197,2494200
2013-03-28,80.669998,81.019997,80.580002,80.959999,68.990837,1897700
2013-04-01,80.949997,81.059998,80.320000,80.529999,68.624382,3097600
2013-04-02,80.860001,81.040001,80.540001,80.769997,68.828918,2480900
2013-04-03,80.820000,80.879997,79.680000,79.889999,68.079002,2266100
2013-04-04,80.010002,80.330002,79.820000,80.239998,68.377243,1317800
2013-04-05,79.260002,80.010002,79.139999,79.959999,68.138641,1533500
2013-04-08,80.000000,80.470001,79.730003,80.449997,68.556206,1927500
2013-04-09,80.599998,80.989998,80.339996,80.680000,68.752197,1178300
2013-04-10,80.879997,81.800003,80.870003,81.720001,69.638443,2209500
2013-04-11,81.730003,82.279999,81.690002,82.029999,69.902641,1263200
2013-04-12,81.760002,81.919998,81.320000,81.739998,69.655495,1413500
2013-04-15,81.449997,81.449997,79.739998,79.750000,67.959702,3054500
2013-04-16,80.360001,80.980003,80.139999,80.930000,68.965263,1945500
2013-04-17,80.389999,80.419998,79.290001,79.720001,67.934143,2688400
2013-04-18,79.849998,79.910004,78.930000,79.220001,67.508064,1505800
2013-04-19,79.489998,80.010002,79.230003,79.980003,68.155708,965500
2013-04-22,80.129997,80.500000,79.550003,80.320000,68.445419,1237200
2013-04-23,80.720001,81.239998,80.389999,81.190002,69.186821,1957600
2013-04-24,81.199997,81.500000,81.070000,81.309998,69.289078,1039800
2013-04-25,81.540001,82.040001,81.449997,81.639999,69.570290,1120900
2013-04-26,81.529999,81.680000,81.220001,81.489998,69.442474,1150200
2013-04-29,81.709999,82.190002,81.589996,82.010002,69.885590,2118600
2013-04-30,82.019997,82.300003,81.690002,82.260002,70.098618,1740800
2013-05-01,82.110001,82.169998,81.379997,81.419998,69.382790,2159700
2013-05-02,81.610001,82.320000,81.610001,82.269997,70.107132,1616200
2013-05-03,82.989998,83.379997,82.860001,83.040001,70.763290,2382900
2013-05-06,83.150002,83.459999,83.099998,83.360001,71.035957,1879100
2013-05-07,83.580002,83.830002,83.309998,83.820000,71.427979,1967400
2013-05-08,83.720001,84.209999,83.680000,84.209999,71.760338,1734900
2013-05-09,84.190002,84.349998,83.739998,83.930000,71.521736,1495200
2013-05-10,84.040001,84.300003,83.809998,84.300003,71.837021,1333200
